Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Method
0xec27a876d4d04366e23288fe9e7d1d40a08f11a332d9d5147a53493aca58d40e,12687074,1637035653,11/16/21 4:07,0x0000000000000000000000000000000000000000,0x72571d815dd31fbde52be0b9d7ffc8344aede616,"1,000",Swapin
0xa2da0d21547004ec135523defd392e9102b0d56e8394bbeb590831d2aaa32d8d,12687175,1637036014,11/16/21 4:13,0x72571d815dd31fbde52be0b9d7ffc8344aede616,0x0000000000000000000000000000000000000000,"1,000",Swapout
0x4fc9a984c5a657f879f11e97ccc76ee5278ff4ae9653bf5a1ab051bed1bc93f0,12717652,1637134461,11/17/21 7:34,0x0000000000000000000000000000000000000000,0x72571d815dd31fbde52be0b9d7ffc8344aede616,"6,000,000",Swapin
0x85670b553fcc2bebac7261f0e056a524f5bf06374bf4732fecc458044004a785,12741211,1637208768,11/18/21 4:12,0x72571d815dd31fbde52be0b9d7ffc8344aede616,0x93765e121570c1cdbd875d4faba927c7f864565e,"1,000",Transfer
0xa71a9f5d494564a1181e55c9c33c1ae8a6d64c373862271542a90e662064c80b,12741310,1637209075,11/18/21 4:17,0x72571d815dd31fbde52be0b9d7ffc8344aede616,0x93765e121570c1cdbd875d4faba927c7f864565e,"1,999,000",Transfer
0x8d376df964a8abcb136d9afd7ca44f79d890287c3feb7af52f08e78337ecacb3,12748235,1637230519,11/18/21 10:15,0x93765e121570c1cdbd875d4faba927c7f864565e,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,"2,000,000",Fund
0x262c346c7a08c587ef43a522498002e66252986a06ce04309099cd3a7793782c,12753093,1637245979,11/18/21 14:32,0x72571d815dd31fbde52be0b9d7ffc8344aede616,0xd2c0d0251a6e074e0ad3e6edf1c3f859e52b9b92,"322,581",Add Liquidity
0x0b9746319a2a04ba96012548ea1e1210871f47166a0a64c57a519ef3de01cfb7,12753235,1637246422,11/18/21 14:40,0xd2c0d0251a6e074e0ad3e6edf1c3f859e52b9b92,0x70be2bfe60d875faad5922f2379af1a0afc8e754,"25,561.60",Swap Exact Tokens For Tokens
0x17d7b1d80999d838f11d64c6e2077eb4c601cddf52a726c3f0bed2f243dca53d,12753259,1637246505,11/18/21 14:41,0xd2c0d0251a6e074e0ad3e6edf1c3f859e52b9b92,0xb501c31cedc77cc1bf5aac2fd5202f9383a9cdad,"45,228.60",Mix Swap
0x0118da3f1847d8587adf3edcdafedf8b366757e7e123b65c8b7add10213431d4,12753282,1637246577,11/18/21 14:42,0xd2c0d0251a6e074e0ad3e6edf1c3f859e52b9b92,0xe720988061c9be1e0c3519b12d9a1cc422be1fe8,"23,047.60",Swap Exact Tokens For Tokens
0x36d1770135256732771d52ac24b57590829267a583ea6d39c4b094ccf69159b9,12753302,1637246637,11/18/21 14:43,0xd2c0d0251a6e074e0ad3e6edf1c3f859e52b9b92,0xb84f552868d07a944dcd0568da5d6ebdfe30c244,"12,661.22",Swap Exact Tokens For Tokens
0x5b2e699740f2bfab5b464471738feafe1d21ddfa0dede351eaa5fef71354047a,12753313,1637246672,11/18/21 14:44,0xd2c0d0251a6e074e0ad3e6edf1c3f859e52b9b92,0x8f8dd7db1bda5ed3da8c9daf3bfa471c12d58486,"3,260.89",External Swap
0x5b2e699740f2bfab5b464471738feafe1d21ddfa0dede351eaa5fef71354047a,12753313,1637246672,11/18/21 14:44,0x8f8dd7db1bda5ed3da8c9daf3bfa471c12d58486,0x2f89f169a0e38d8ed1e512004cf9c0ee82f7fad0,"3,260.89",External Swap
0xf9e04f0b9f2697d3415ee033c965377ba9a3cbe1ad23b795f5f55455114e1e67,12753321,1637246701,11/18/21 14:45,0xd2c0d0251a6e074e0ad3e6edf1c3f859e52b9b92,0xaaba8dc6ea216bed8e27ff4c4fdef1179fb33820,"3,739.31",Swap Exact Tokens For Tokens
0xba6cf8f7f757f022e7f665c01be9028a3c63d6e18a587a75438b7bc4db314385,12753328,1637246723,11/18/21 14:45,0xd2c0d0251a6e074e0ad3e6edf1c3f859e52b9b92,0x18264818f368a22407124824fc48bd0bf5322e1a,730.2845413,Swap Exact Tokens For Tokens
0x35c1b45619b8d68e9f592fa5684d5aae697061550e8388ea9cd4e7cd1bcf5104,12753357,1637246829,11/18/21 14:47,0xd2c0d0251a6e074e0ad3e6edf1c3f859e52b9b92,0xb84f552868d07a944dcd0568da5d6ebdfe30c244,"5,451.25",Swap Exact Tokens For Tokens
